Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-19T06:27:30.503316
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-19T06:27:30.503385
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-19T06:27:30.503452
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-19T06:27:30.503515
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-19T06:27:30.503576
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-19T06:27:30.503639
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-19T06:27:30.503703
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-19T06:27:30.503772
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-19T06:27:30.503835
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-19T06:27:30.503956
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-19T06:27:30.504015
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-19T06:27:30.504075
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-19T06:27:30.504135
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-19T06:27:30.504256
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-19T06:27:30.504318
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-19T06:27:30.504378
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-19T06:27:30.504440
Pants 22,4319680.0,4.9,3,M,Men,2026-05-19T06:27:31.550709
Outerwear 23,4655840.0,3.7,3,L,Women,2026-05-19T06:27:31.550771
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-05-19T06:27:31.550834
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-05-19T06:27:31.550895
T-shirt 26,7292320.0,4.6,3,S,Women,2026-05-19T06:27:31.550959
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-05-19T06:27:31.551021
Pants 28,5216160.0,4.0,3,L,Men,2026-05-19T06:27:31.551081
Outerwear 29,861600.0,3.1,3,XL,Women,2026-05-19T06:27:31.551141
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-05-19T06:27:31.551199
T-shirt 32,6657920.0,3.4,3,M,Women,2026-05-19T06:27:31.551316
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-05-19T06:27:31.551374
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-05-19T06:27:31.551432
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-05-19T06:27:31.551490
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-05-19T06:27:31.551548
Crewneck 37,6006080.0,4.0,3,M,Men,2026-05-19T06:27:31.551606
T-shirt 38,4866080.0,3.2,3,L,Women,2026-05-19T06:27:31.551663
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-05-19T06:27:31.551723
Pants 40,5853600.0,3.1,3,XXL,Men,2026-05-19T06:27:31.551783
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-05-19T06:27:32.604157
Crewneck 43,2909600.0,4.5,3,L,Men,2026-05-19T06:27:32.604279
T-shirt 44,3312320.0,3.0,3,XL,Women,2026-05-19T06:27:32.604387
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-05-19T06:27:32.604490
Outerwear 47,6364640.0,3.2,3,M,Women,2026-05-19T06:27:32.604700
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-05-19T06:27:32.604801
Crewneck 49,1071200.0,4.0,3,XL,Men,2026-05-19T06:27:32.604898
T-shirt 50,5932960.0,3.1,3,XXL,Women,2026-05-19T06:27:32.605002
Pants 52,1596480.0,4.0,3,M,Men,2026-05-19T06:27:32.605197
Outerwear 53,4470880.0,4.3,3,L,Women,2026-05-19T06:27:32.605290
Jacket 54,854560.0,4.2,3,XL,Unisex,2026-05-19T06:27:32.605388
Crewneck 55,1793760.0,3.6,3,XXL,Men,2026-05-19T06:27:32.605483
T-shirt 56,4643040.0,3.8,3,S,Women,2026-05-19T06:27:32.605578
Hoodie 57,3155360.0,4.9,3,M,Unisex,2026-05-19T06:27:32.605674
Pants 58,1637760.0,4.4,3,L,Men,2026-05-19T06:27:32.605769
Outerwear 59,2254240.0,4.6,3,XL,Women,2026-05-19T06:27:32.605862
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2026-05-19T06:27:32.605960
T-shirt 62,1376480.0,3.8,3,M,Women,2026-05-19T06:27:33.654957
Hoodie 63,6479200.0,3.6,3,L,Unisex,2026-05-19T06:27:33.655065
Pants 64,7728480.0,4.0,3,XL,Men,2026-05-19T06:27:33.655177
Outerwear 65,2385920.0,4.1,3,XXL,Women,2026-05-19T06:27:33.655282
Jacket 66,4353120.0,3.5,3,S,Unisex,2026-05-19T06:27:33.655380
Crewneck 67,8470720.0,3.5,3,M,Men,2026-05-19T06:27:33.655474
T-shirt 68,8025280.0,4.0,3,L,Women,2026-05-19T06:27:33.655570
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2026-05-19T06:27:33.655664
